SampleID,pH
S0001,59
S0002,75
S0003,79
S0004,81
S0005,85
S0006,77
S0007,66
S0008,81
S0009,59
S0010,75
S0011,77
S0012,83
S0013,82
S0014,81
S0015,61
S0016,83
S0017,59
S0018,84
S0019,81
S0020,60
S0021,80
S0022,79
S0023,60
S0024,84
S0025,60
S0026,60
S0027,77
S0028,81
S0029,78
S0030,61
S0031,82
S0032,82
S0033,77
S0034,65
S0035,80
S0036,61
S0037,84
S0038,78
S0039,79
S0040,61
S0041,59
S0042,64
S0043,80
S0044,61
S0045,78
S0046,80
S0047,58
S0048,61
S0049,66
S0050,82
S0051,60
S0052,77
S0053,59
S0054,57
S0055,77
S0056,63
S0057,82
S0058,62
S0059,80
S0060,65
S0061,57
S0062,79
S0063,80
S0064,60
S0065,61
S0066,59
S0067,82
S0068,81
S0069,60
S0070,60
S0071,61
S0072,81
S0073,78
S0074,62
S0075,65
S0076,60
S0077,59
S0078,58
S0079,63
S0080,62
S0081,57
S0082,80
S0083,82
S0084,62
S0085,59
S0086,56
S0087,80
S0088,79
S0089,59
S0090,62
S0091,59
S0092,78
S0093,82
S0094,78
S0095,58
S0096,78
S0097,82
S0098,81
S0099,61
S0100,58
S0101,58
S0102,84
S0103,58
S0104,80
S0105,60
S0106,58
S0107,59
S0108,79
S0109,60
S0110,58
S0111,81
S0112,78
S0113,79
S0114,80
S0115,80
S0116,83
S0117,83
S0118,65
S0119,61
S0120,79
S0121,79
S0122,80
S0123,61
S0124,76
S0125,59
S0126,78
S0127,59
S0128,61
S0129,78
S0130,81
S0131,80
S0132,64
S0133,65
S0134,82
S0135,78
S0136,77
S0137,82
S0138,58
S0139,79
S0140,81
S0141,57
S0142,84
S0143,82
S0144,77
S0145,56
S0146,78
S0147,82
S0148,78
S0149,58
S0150,61
S0151,60
S0152,77
S0153,55
S0154,63
S0155,82
S0156,60
S0157,56
S0158,79
S0159,56
S0160,80
S0161,63
S0162,57
S0163,63
S0164,60
S0165,82
S0166,61
S0167,58
S0168,77
S0169,58
S0170,80
S0171,83
S0172,81
S0173,83
S0174,55
S0175,60
S0176,61
S0177,76
S0178,77
S0179,80
S0180,60
S0181,61
S0182,64
S0183,79
S0184,60
S0185,79
S0186,59
S0187,61
S0188,62
S0189,84
S0190,84
S0191,80
S0192,85
S0193,81
S0194,85
S0195,82
S0196,78
S0197,79
S0198,58
S0199,79
S0200,64
S0201,78
S0202,81
S0203,56
S0204,62
S0205,84
S0206,78
S0207,77
S0208,80
S0209,78
S0210,79
S0211,58
S0212,59
S0213,58
S0214,54
S0215,63
S0216,80
S0217,77
S0218,82
S0219,82
S0220,82
S0221,60
S0222,85
S0223,56
S0224,81
S0225,62
S0226,59
S0227,78
S0228,61
S0229,80
S0230,60
S0231,78
S0232,61
S0233,58
S0234,60
S0235,78
S0236,61
S0237,59
S0238,80
S0239,60
S0240,59
S0241,80
S0242,79
S0243,76
S0244,76
S0245,81
S0246,81
S0247,56
S0248,65
S0249,59
S0250,80
S0251,80
S0252,78
S0253,77
S0254,58
S0255,59
S0256,78
S0257,80
S0258,79
S0259,62
S0260,59
S0261,60
S0262,81
S0263,55
S0264,56
S0265,78
S0266,84
S0267,64
S0268,57
S0269,79
