UserID,Age
U00001,35
U00002,18
U00003,26
U00004,62
U00005,32
U00006,21
U00007,30
U00008,24
U00009,20
U00010,26
U00011,23
U00012,24
U00013,32
U00014,20
U00015,30
U00016,30
U00017,27
U00018,19
U00019,22
U00020,20
U00021,18
U00022,29
U00023,47
U00024,48
U00025,21
U00026,18
U00027,21
U00028,25
U00029,23
U00030,31
U00031,36
U00032,26
U00033,24
U00034,28
U00035,27
U00036,22
U00037,37
U00038,32
U00039,18
U00040,24
U00041,18
U00042,39
U00043,30
U00044,30
U00045,18
U00046,47
U00047,24
U00048,30
U00049,24
U00050,21
U00051,62
U00052,20
U00053,28
U00054,41
U00055,23
U00056,21
U00057,24
U00058,35
U00059,26
U00060,33
U00061,49
U00062,23
U00063,24
U00064,19
U00065,26
U00066,57
U00067,21
U00068,23
U00069,22
U00070,20
U00071,19
U00072,65
U00073,50
U00074,20
U00075,39
U00076,27
U00077,19
U00078,67
U00079,38
U00080,18
U00081,20
U00082,23
U00083,29
U00084,35
U00085,37
U00086,25
U00087,18
U00088,25
U00089,26
U00090,26
U00091,21
U00092,28
U00093,57
U00094,35
U00095,19
U00096,28
U00097,27
U00098,45
U00099,23
U00100,26
U00101,24
U00102,18
U00103,23
U00104,58
U00105,22
U00106,27
U00107,47
U00108,33
U00109,31
U00110,31
U00111,32
U00112,32
U00113,24
U00114,18
U00115,27
U00116,26
U00117,22
U00118,18
U00119,44
U00120,21
U00121,22
U00122,26
U00123,18
U00124,25
U00125,26
U00126,50
U00127,24
U00128,21
U00129,38
U00130,19
U00131,18
U00132,19
U00133,20
U00134,19
U00135,18
U00136,35
U00137,25
U00138,18
U00139,27
U00140,25
U00141,26
U00142,26
U00143,78
U00144,22
U00145,22
U00146,25
U00147,19
U00148,19
U00149,51
U00150,23
U00151,44
U00152,20
U00153,29
U00154,34
U00155,78
U00156,20
U00157,25
U00158,55
U00159,42
U00160,21
U00161,35
U00162,68
U00163,21
U00164,22
U00165,19
U00166,22
U00167,20
U00168,30
U00169,25
U00170,24
U00171,25
U00172,37
U00173,32
U00174,22
U00175,18
U00176,61
U00177,20
U00178,21
U00179,20
U00180,34
U00181,23
U00182,68
U00183,52
U00184,45
U00185,44
U00186,26
U00187,19
U00188,20
U00189,25
U00190,21
U00191,41
U00192,18
U00193,21
U00194,18
U00195,36
U00196,21
U00197,26
U00198,22
U00199,50
U00200,39
U00201,39
U00202,55
U00203,39
U00204,20
U00205,28
U00206,43
U00207,26
U00208,35
U00209,48
U00210,19
U00211,22
U00212,29
U00213,22
U00214,25
U00215,42
U00216,46
U00217,18
U00218,36
U00219,52
U00220,23
U00221,20
U00222,30
U00223,18
U00224,19
U00225,32
U00226,19
U00227,37
U00228,32
U00229,30
U00230,24
U00231,44
U00232,18
U00233,31
U00234,36
U00235,33
U00236,20
U00237,46
U00238,29
U00239,78
U00240,27
U00241,23
U00242,50
U00243,29
U00244,18
U00245,25
U00246,18
U00247,78
U00248,23
U00249,27
U00250,35
U00251,23
U00252,28
U00253,24
U00254,22
U00255,19
U00256,38
U00257,26
U00258,18
U00259,64
U00260,29
U00261,25
U00262,22
U00263,23
U00264,42
U00265,57
U00266,25
U00267,20
U00268,20
U00269,40
U00270,26
U00271,26
U00272,21
U00273,50
U00274,20
U00275,24
U00276,23
U00277,29
U00278,18
U00279,28
U00280,20
U00281,21
U00282,37
U00283,20
U00284,36
U00285,22
U00286,37
U00287,33
U00288,18
U00289,24
U00290,46
U00291,19
U00292,37
U00293,23
U00294,21
U00295,22
U00296,27
U00297,21
U00298,21
U00299,26
U00300,22
U00301,23
U00302,29
U00303,45
U00304,22
U00305,50
U00306,33
U00307,23
U00308,30
U00309,33
U00310,41
U00311,28
U00312,53
U00313,27
U00314,25
U00315,35
U00316,20
U00317,24
U00318,30
U00319,32
U00320,25
U00321,18
U00322,21
U00323,23
U00324,41
U00325,24
U00326,18
U00327,26
U00328,35
U00329,18
U00330,33
U00331,19
U00332,31
U00333,30
U00334,20
U00335,34
U00336,30
U00337,24
U00338,19
U00339,21
U00340,37
U00341,37
U00342,32
U00343,37
U00344,25
U00345,32
U00346,25
U00347,33
U00348,25
U00349,18
U00350,18
U00351,18
U00352,23
U00353,20
U00354,25
U00355,19
U00356,21
U00357,21
U00358,20
U00359,22
U00360,21
U00361,30
U00362,35
U00363,21
U00364,19
U00365,22
U00366,32
U00367,26
U00368,24
U00369,21
U00370,31
U00371,20
U00372,54
U00373,19
U00374,22
U00375,45
U00376,24
U00377,30
U00378,25
U00379,25
U00380,36
U00381,30
U00382,37
U00383,56
U00384,18
U00385,27
U00386,47
U00387,19
U00388,50
U00389,34
U00390,27
U00391,28
U00392,20
U00393,20
U00394,20
U00395,28
U00396,18
U00397,52
U00398,25
U00399,29
U00400,21
U00401,19
U00402,23
U00403,18
U00404,66
U00405,23
U00406,19
U00407,28
U00408,43
U00409,60
U00410,22
U00411,21
U00412,25
U00413,25
U00414,26
U00415,26
U00416,26
U00417,31
U00418,48
U00419,25
U00420,25
U00421,24
U00422,18
U00423,46
U00424,43
U00425,20
U00426,22
U00427,32
U00428,24
U00429,32
U00430,18
U00431,24
U00432,27
U00433,51
U00434,22
U00435,34
U00436,21
U00437,22
U00438,21
U00439,25
U00440,20
U00441,30
U00442,25
U00443,35
U00444,35
U00445,24
U00446,31
U00447,31
U00448,20
U00449,57
U00450,36
U00451,21
U00452,19
U00453,49
U00454,19
U00455,26
U00456,39
U00457,20
U00458,25
U00459,20
U00460,18
U00461,22
U00462,31
U00463,46
U00464,22
U00465,19
U00466,20
U00467,19
U00468,31
U00469,25
U00470,25
U00471,32
U00472,22
U00473,32
U00474,31
U00475,69
U00476,30
U00477,19
U00478,21
U00479,34
U00480,23
U00481,37
U00482,44
U00483,53
U00484,31
U00485,23
U00486,29
U00487,33
U00488,31
U00489,22
U00490,24
U00491,34
U00492,19
U00493,24
U00494,18
U00495,52
U00496,19
U00497,30
U00498,20
U00499,23
U00500,20
U00501,28
U00502,20
U00503,25
U00504,24
U00505,45
U00506,29
U00507,18
U00508,23
U00509,30
U00510,35
U00511,18
U00512,21
U00513,28
U00514,19
U00515,26
U00516,21
U00517,49
U00518,29
U00519,28
U00520,37
U00521,50
U00522,25
U00523,32
U00524,47
U00525,25
U00526,29
U00527,43
U00528,19
U00529,23
U00530,30
U00531,18
U00532,21
U00533,19
U00534,36
U00535,22
U00536,40
U00537,50
U00538,18
U00539,37
U00540,20
U00541,36
U00542,29
U00543,52
U00544,59
U00545,22
U00546,28
U00547,44
U00548,72
U00549,42
U00550,22
U00551,55
U00552,23
U00553,19
U00554,24
U00555,25
U00556,51
U00557,27
U00558,24
U00559,20
U00560,19
U00561,28
U00562,18
U00563,25
U00564,27
U00565,44
U00566,61
U00567,38
U00568,33
U00569,25
U00570,18
U00571,56
U00572,28
U00573,28
U00574,32
U00575,28
U00576,24
U00577,55
U00578,19
U00579,23
U00580,20
U00581,28
U00582,19
U00583,25
U00584,30
U00585,25
U00586,44
U00587,33
U00588,22
U00589,34
U00590,28
U00591,40
U00592,27
U00593,34
U00594,37
U00595,47
U00596,21
U00597,22
U00598,19
U00599,66
U00600,23
U00601,18
U00602,21
U00603,21
U00604,22
U00605,47
U00606,28
U00607,24
U00608,18
U00609,20
U00610,20
U00611,19
U00612,25
U00613,36
U00614,24
U00615,27
U00616,28
U00617,36
U00618,23
U00619,49
U00620,19
U00621,32
U00622,24
U00623,20
U00624,47
U00625,21
U00626,19
U00627,21
U00628,22
U00629,20
U00630,25
U00631,25
U00632,20
U00633,18
U00634,18
U00635,42
U00636,29
U00637,38
U00638,65
U00639,33
U00640,48
U00641,23
U00642,22
U00643,27
U00644,27
U00645,18
U00646,18
U00647,26
U00648,18
U00649,61
U00650,19
U00651,29
U00652,33
U00653,18
U00654,23
U00655,21
U00656,49
U00657,42
U00658,26
U00659,19
U00660,21
U00661,36
U00662,20
U00663,39
U00664,27
U00665,26
U00666,30
U00667,36
U00668,18
U00669,21
U00670,41
U00671,21
U00672,51
U00673,18
U00674,19
U00675,27
U00676,21
U00677,35
U00678,42
U00679,20
U00680,24
U00681,41
U00682,18
U00683,19
U00684,20
U00685,20
U00686,29
U00687,32
U00688,23
U00689,24
U00690,19
U00691,18
U00692,22
U00693,22
U00694,27
U00695,35
U00696,21
U00697,19
U00698,19
U00699,68
U00700,18
U00701,31
U00702,36
U00703,19
U00704,24
U00705,25
U00706,18
U00707,56
U00708,24
U00709,32
U00710,21
U00711,19
U00712,31
U00713,27
U00714,19
U00715,33
U00716,32
U00717,30
U00718,40
U00719,20
U00720,20
U00721,36
U00722,22
U00723,30
U00724,26
U00725,27
U00726,30
U00727,25
U00728,23
U00729,36
U00730,38
U00731,20
U00732,28
U00733,27
U00734,19
U00735,58
U00736,20
U00737,22
U00738,29
U00739,78
U00740,22
U00741,74
U00742,43
U00743,21
U00744,36
U00745,22
U00746,25
U00747,25
U00748,19
U00749,52
U00750,27
U00751,38
U00752,45
U00753,36
U00754,25
U00755,34
U00756,34
U00757,28
U00758,41
U00759,19
U00760,29
U00761,32
U00762,20
U00763,28
U00764,22
U00765,19
U00766,19
U00767,30
U00768,35
U00769,36
U00770,24
U00771,25
U00772,19
U00773,30
U00774,21
U00775,19
U00776,22
U00777,24
U00778,20
U00779,42
U00780,41
U00781,19
U00782,40
U00783,31
U00784,55
U00785,33
U00786,44
U00787,43
U00788,27
U00789,22
U00790,23
U00791,29
U00792,32
U00793,21
U00794,18
U00795,22
U00796,18
U00797,35
U00798,21
U00799,18
U00800,27
U00801,34
U00802,28
U00803,57
U00804,22
U00805,30
U00806,28
U00807,50
U00808,18
U00809,30
U00810,19
U00811,18
U00812,18
U00813,38
U00814,25
U00815,21
U00816,37
U00817,30
U00818,18
U00819,42
U00820,40
U00821,35
U00822,22
U00823,33
U00824,18
U00825,26
U00826,23
U00827,43
U00828,22
U00829,34
U00830,18
U00831,19
U00832,28
U00833,23
U00834,19
U00835,18
U00836,30
U00837,24
U00838,21
U00839,18
U00840,20
U00841,18
U00842,25
U00843,22
U00844,23
U00845,22
U00846,25
U00847,25
U00848,22
U00849,21
U00850,22
U00851,19
U00852,31
U00853,32
U00854,18
U00855,78
U00856,18
U00857,41
U00858,22
U00859,21
U00860,26
U00861,18
U00862,32
U00863,18
U00864,66
U00865,19
U00866,32
U00867,26
U00868,42
U00869,44
U00870,18
U00871,25
U00872,45
U00873,19
U00874,25
U00875,19
U00876,33
U00877,39
U00878,37
U00879,21
U00880,42
U00881,18
U00882,23
U00883,28
U00884,21
U00885,19
U00886,20
U00887,20
U00888,59
U00889,18
U00890,30
U00891,20
U00892,21
U00893,21
U00894,29
U00895,19
U00896,24
U00897,22
U00898,20
U00899,18
U00900,23
U00901,23
U00902,57
U00903,20
U00904,39
U00905,29
U00906,52
U00907,23
U00908,23
U00909,32
U00910,24
U00911,31
U00912,26
U00913,28
U00914,29
U00915,25
U00916,21
U00917,22
U00918,48
U00919,19
U00920,18
U00921,38
U00922,59
U00923,19
U00924,39
U00925,38
U00926,22
U00927,23
U00928,31
U00929,28
U00930,18
U00931,34
U00932,21
U00933,50
U00934,22
U00935,21
U00936,20
U00937,19
U00938,45
U00939,25
U00940,23
U00941,26
U00942,25
U00943,53
U00944,21
U00945,37
U00946,23
U00947,22
U00948,20
U00949,19
U00950,28
U00951,21
U00952,32
U00953,18
U00954,20
U00955,21
U00956,33
U00957,25
U00958,19
U00959,19
U00960,43
U00961,30
U00962,27
U00963,22
U00964,41
U00965,29
U00966,29
U00967,18
U00968,41
U00969,41
U00970,22
U00971,23
U00972,24
U00973,19
U00974,24
U00975,55
U00976,22
U00977,58
U00978,33
U00979,19
U00980,20
U00981,23
U00982,24
U00983,46
U00984,35
U00985,24
U00986,23
U00987,22
U00988,22
U00989,19
U00990,22
U00991,19
U00992,24
U00993,21
U00994,30
U00995,24
U00996,31
U00997,30
U00998,23
U00999,26
U01000,22
