MeasurementID,Diameter_mm
M0001,44
M0002,53
M0003,52
M0004,47
M0005,48
M0006,51
M0007,48
M0008,46
M0009,53
M0010,52
M0011,49
M0012,50
M0013,51
M0014,53
M0015,54
M0016,46
M0017,46
M0018,50
M0019,54
M0020,49
M0021,47
M0022,47
M0023,44
M0024,49
M0025,54
M0026,46
M0027,49
M0028,54
M0029,54
M0030,48
M0031,52
M0032,47
M0033,51
M0034,49
M0035,47
M0036,52
M0037,47
M0038,49
M0039,48
M0040,53
M0041,49
M0042,56
M0043,48
M0044,47
M0045,54
M0046,45
M0047,52
M0048,49
M0049,51
M0050,55
M0051,48
M0052,48
M0053,54
M0054,51
M0055,54
M0056,45
M0057,50
M0058,46
M0059,60
M0060,54
M0061,52
M0062,47
M0063,53
M0064,49
M0065,48
M0066,51
M0067,49
M0068,52
M0069,46
M0070,51
M0071,54
M0072,53
M0073,52
M0074,46
M0075,48
M0076,56
M0077,56
M0078,46
M0079,51
M0080,42
M0081,49
M0082,54
M0083,50
M0084,52
M0085,47
M0086,47
M0087,53
M0088,52
M0089,52
M0090,52
M0091,51
M0092,49
M0093,52
M0094,51
M0095,54
M0096,54
M0097,47
M0098,54
M0099,48
M0100,45
M0101,49
M0102,49
M0103,53
M0104,51
M0105,52
M0106,56
M0107,50
M0108,51
M0109,50
M0110,50
M0111,45
M0112,47
M0113,49
M0114,47
M0115,49
M0116,46
M0117,50
M0118,51
M0119,51
M0120,52
M0121,47
M0122,53
M0123,49
M0124,55
M0125,54
M0126,49
M0127,58
M0128,57
M0129,48
M0130,50
M0131,49
M0132,48
M0133,50
M0134,45
M0135,51
M0136,52
M0137,53
M0138,55
M0139,50
M0140,55
M0141,50
M0142,51
M0143,51
M0144,54
M0145,49
M0146,50
M0147,46
M0148,55
M0149,48
M0150,53
M0151,48
M0152,51
M0153,51
M0154,44
M0155,53
M0156,48
M0157,54
M0158,49
M0159,50
M0160,55
M0161,52
M0162,48
M0163,50
M0164,47
M0165,50
M0166,53
M0167,50
M0168,50
M0169,52
M0170,49
M0171,51
M0172,53
M0173,52
M0174,48
M0175,47
M0176,49
M0177,46
M0178,55
M0179,51
M0180,50
M0181,49
M0182,46
M0183,52
M0184,53
M0185,52
M0186,49
M0187,54
M0188,55
M0189,48
M0190,44
M0191,50
M0192,50
M0193,44
M0194,52
M0195,46
M0196,55
M0197,50
M0198,43
M0199,47
M0200,52
